kode_menu,nama_menu,kategori,harga_jual,harga_pokok_produksi
MNU-01,Barakah Crispy Cheese Roll,Cake & Pastry,75000,42000
MNU-02,Velvet Delight Cake,Cake & Pastry,85000,48000
MNU-03,Bolu Talas Cokelat Madani,Signature Local,68000,36000
MNU-04,Tiramisu Caramel Cream,Cake & Pastry,82000,45000
MNU-05,Bolu Gulung Durian Premium,Signature Local,90000,52000
MNU-06,Mini Fruit Pie Box (Isi 6),Oleh-Oleh,45000,24000
MNU-07,Kopi Susu Gula Aren Barakah,Beverages,24000,9000
MNU-08,Matcha Latte Oatmilk,Beverages,28000,12000
MNU-09,Artisan Croissant French Butter,Bakery,22000,10000
MNU-10,Vanilla Choux Pastry Box,Bakery,55000,28000
